Data_Type,startTimestamp,endTimestamp,startLatitude,startLongitude,endLatitude,endLongitude,activityType,confidence,latitude,longitude,placeId,placeName,placeConfidence,visitConfidence
place visit,2017-01-12T00:00:00Z,2017-01-15T11:50:15.348Z,,,,,,,22.7724737,86.259341,ChIJY8RVeQEI9jkRdFdjdoZjTDA,Pabhata Store,MEDIUM_CONFIDENCE,63
place visit,2017-01-12T00:00:00Z,2017-01-15T11:50:15.348Z,,,,,,,22.7724737,86.259341,ChIJY8RVeQEI9jkRdFdjdoZjTDA,Pabhata Store,MEDIUM_CONFIDENCE,63
place visit,2017-01-31T12:37:09Z,2017-02-01T13:35:04.030Z,,,,,,,22.7724737,86.259341,ChIJY8RVeQEI9jkRdFdjdoZjTDA,Pabhata Store,MEDIUM_CONFIDENCE,33
place visit,2017-01-31T12:37:09Z,2017-02-01T13:35:04.030Z,,,,,,,22.7724737,86.259341,ChIJY8RVeQEI9jkRdFdjdoZjTDA,Pabhata Store,MEDIUM_CONFIDENCE,33
place visit,2017-02-21T06:14:30.308Z,2017-02-21T06:39:47.512Z,,,,,,,22.7724737,86.259341,ChIJY8RVeQEI9jkRdFdjdoZjTDA,Pabhata Store,MEDIUM_CONFIDENCE,70
place visit,2017-02-21T06:14:30.308Z,2017-02-21T06:39:47.512Z,,,,,,,22.7724737,86.259341,ChIJY8RVeQEI9jkRdFdjdoZjTDA,Pabhata Store,MEDIUM_CONFIDENCE,70
activity type,2017-02-21T06:39:47.512Z,2017-02-21T11:49:18.876Z,22.7724737,86.259341,22.7721524,86.259412,IN_PASSENGER_VEHICLE,LOW,,,,,,
activity type,2017-02-21T06:39:47.512Z,2017-02-21T11:49:18.876Z,22.7724737,86.259341,22.7721524,86.259412,IN_PASSENGER_VEHICLE,LOW,,,,,,
place visit,2017-02-22T14:27:27Z,2017-02-22T15:15:37Z,,,,,,,22.7724737,86.259341,ChIJY8RVeQEI9jkRdFdjdoZjTDA,Pabhata Store,MEDIUM_CONFIDENCE,51
place visit,2017-02-22T14:27:27Z,2017-02-22T15:15:37Z,,,,,,,22.7724737,86.259341,ChIJY8RVeQEI9jkRdFdjdoZjTDA,Pabhata Store,MEDIUM_CONFIDENCE,51
place visit,2017-02-22T23:25:17Z,2017-02-22T23:39:29Z,,,,,,,22.7760784,86.2536345,ChIJN4j8-6ji9TkRhbNodNpiaHA,Sumant Moolgaokar Stadium,HIGH_CONFIDENCE,65
place visit,2017-02-22T23:25:17Z,2017-02-22T23:39:29Z,,,,,,,22.7760784,86.2536345,ChIJN4j8-6ji9TkRhbNodNpiaHA,Sumant Moolgaokar Stadium,HIGH_CONFIDENCE,65
activity type,2017-02-22T23:39:29Z,2017-02-22T23:48:06Z,22.7760784,86.2536345,22.770535,86.2595467,WALKING,LOW,,,,,,
activity type,2017-02-22T23:39:29Z,2017-02-22T23:48:06Z,22.7760784,86.2536345,22.770535,86.2595467,WALKING,LOW,,,,,,
place visit,2017-02-24T04:36:56.305Z,2017-02-24T04:58:46.940Z,,,,,,,22.7713612,86.2606852,ChIJ2xk9MgEI9jkRhk9txdkbtjY,Debnath Homes,LOW_CONFIDENCE,73
